pedido_id,cliente_id,categoria,produto,preco_unitario,quantidade,data_pedido,estado,canal_aquisicao,status_pedido,avaliacao
PED103257,CLI2727,Casa e Decoração,Tapete,55.04,2,09-12-2025,CE,Google Ads,Entregue,4.0
PED104873,CLI1144,Moda,Tênis Casual,61.93,1,2025-07-19,RJ,Instagram Ads,Em transporte,2.0
PED100574,CLI2716,Beleza,Perfume,49.89,1,21-04-2025,AM,Orgânico,Cancelado,5.0
PED101586,CLI1559,Moda,Boné,74.92,2,02/04/2025,PE,Instagram Ads,entregue,5.0
PED103458,CLI2970,Livros,Biografia,24.06,1,2025-02-16,PR,Instagram Ads,Entregue,4.0
PED104268,CLI1748,Beleza,Protetor Solar,74.64,3,2025-03-26,BA,Orgânico,Em transporte,5.0
PED102174,CLI1258,Moda,Bermuda,64.38,5,02-07-2025,SP,E-mail Marketing,entregue,2.0
PED102227,CLI1906,Moda,Camiseta Básica,101.36,1,03-01-2025,DF,Orgânico,Entregue,3.0
PED104400,CLI2118,Esporte,Kit Halteres,66.83,1,24-06-2025,BA,Orgânico,Entregue,5.0
PED104848,CLI2562,Moda,Tênis Casual,63.26,2,11-01-2025,BA,Instagram Ads,Entregue,2.0
PED104241,CLI1863,Esporte,Colchonete Yoga,43.12,1,2025-02-02,CE,E-mail Marketing,Entregue,4.0
PED103684,CLI2012,Beleza,Perfume,62.02,5,2025-09-06,PA,Instagram Ads,Devolvido,4.0
PED100349,CLI2515,Moda,Jaqueta Jeans,76.93,5,09-05-2025,RJ,,Entregue,4.0
PED100771,CLI2380,Livros,Quadrinhos,56.94,2,2025-01-04,PE,Orgânico,entregue,5.0
PED103118,CLI2625,Casa e Decoração,Jogo de Panelas,68.08,2,11-04-2025,CE,Google Ads,Devolvido,
PED104623,CLI2566,Beleza,Perfume,31.03,1,23-03-2025,CE,E-mail Marketing,Entregue,4.0
PED100325,CLI2590,Beleza,Kit Skincare,50.04,1,12-04-2025,PA,Orgânico,Em transporte,3.0
PED104825,CLI1978,Eletrônicos,Carregador USB-C,141.12,1,2025-03-14,DF,Instagram Ads,Entregue,
PED102831,CLI1139,Casa e Decoração,Luminária LED,,1,2025-10-21,AM,Google Ads,Entregue,4.0
PED104769,CLI1320,Eletrônicos,Caixa de Som,125.71,1,2025-04-22,GO,Google Ads,Entregue,5.0
PED100299,CLI2061,Casa e Decoração,Vaso Decorativo,82.73,1,2025-02-24,SC,Google Ads,Entregue,5.0
PED100987,CLI2184,Moda,Bermuda,109.03,3,19-01-2025,RS,E-mail Marketing,Entregue,
PED101206,CLI1459,Moda,Tênis Casual,,1,2025-01-10,AM,Indicação,Entregue,5.0
PED103715,CLI1689,Livros,Quadrinhos,32.75,1,28-11-2025,SC,E-mail Marketing,Entregue,
PED102158,CLI2212,Beleza,Protetor Solar,49.49,1,2025-08-10,PA,Indicação,Em transporte,4.0
PED103685,CLI2877,Esporte,Tênis de Corrida,108.26,1,16-02-2025,PA,Orgânico,Cancelado,5.0
PED103495,CLI1043,Esporte,Bicicleta Ergométrica,73.92,1,18-05-2025,CE,Orgânico,Entregue,3.0
PED101748,CLI2493,Moda,Tênis Casual,41.59,1,2025-09-02,PA,Orgânico,entregue,5.0
PED102093,CLI1679,Livros,Quadrinhos,71.16,1,05-03-2025,AM,Instagram Ads,entregue,4.0
PED100501,CLI1528,Esporte,Tênis de Corrida,144.75,1,2025-01-19,MG,Orgânico,Em transporte,5.0
PED103604,CLI1488,Eletrônicos,Fone Bluetooth,144.75,2,09-05-2025,GO,Instagram Ads,Entregue,5.0
PED101528,CLI2716,Casa e Decoração,Jogo de Panelas,89.1,1,14-03-2025,GO,Google Ads,Entregue,3.0
PED103361,CLI2623,Esporte,Colchonete Yoga,143.61,1,2025-06-27,RJ,Google Ads,Entregue,
PED101625,CLI2113,Livros,Livro de Autoajuda,31.26,1,02-02-2025,GO,Google Ads,Entregue,3.0
PED104447,CLI1594,Livros,Romance Best-seller,52.95,1,07-12-2025,PA,Orgânico,Cancelado,3.0
PED100344,CLI2213,Beleza,Kit Skincare,46.01,1,14-04-2025,CE,Google Ads,ENTREGUE,5.0
PED104888,CLI2070,Beleza,Base Líquida,69.86,1,05-04-2025,PR,Orgânico,entregue,5.0
PED103908,CLI1237,Beleza,Protetor Solar,47.63,1,13-01-2025,DF,Instagram Ads,Entregue,5.0
PED104850,CLI2307,Esporte,Kit Halteres,161.37,1,2025-01-08,SC,E-mail Marketing,Entregue,2.0
PED102539,CLI1987,Esporte,Bicicleta Ergométrica,126.72,1,08-07-2025,AM,Indicação,Entregue,3.0
PED101169,CLI2560,Casa e Decoração,Tapete,88.04,1,12-06-2025,PA,Orgânico,Entregue,1.0
PED103881,CLI1933,Casa e Decoração,Almofada,109.09,1,22-10-2025,SP,Instagram Ads,ENTREGUE,4.0
PED101796,CLI2463,Beleza,Perfume,56.07,1,2025-08-23,CE,Google Ads,Entregue,4.0
PED100033,CLI1895,Casa e Decoração,Jogo de Panelas,94.4,1,09-05-2025,PE,,entregue,5.0
PED101596,CLI1882,Moda,Jaqueta Jeans,43.11,1,05-05-2025,CE,Indicação,Entregue,4.0
PED101971,CLI2802,Eletrônicos,Smartwatch,153.1,1,20-07-2025,AM,E-mail Marketing,Entregue,5.0
PED101424,CLI1161,Casa e Decoração,Almofada,63.87,1,28-03-2025,GO,Google Ads,Em transporte,
PED104859,CLI1082,Livros,Biografia,60.07,1,16-11-2025,PE,Google Ads,Entregue,2.0
PED103121,CLI2777,Esporte,Colchonete Yoga,78.38,1,14/01/2025,BA,E-mail Marketing,Entregue,5.0
PED100763,CLI1822,Livros,Quadrinhos,44.98,1,17-12-2025,GO,Orgânico,ENTREGUE,
PED104031,CLI2680,Moda,Jaqueta Jeans,61.35,1,29-10-2025,PR,Orgânico,Em transporte,3.0
PED101891,CLI2704,Casa e Decoração,Tapete,81.61,3,2025-06-18,AM,E-mail Marketing,Entregue,
PED102833,CLI1252,Livros,Livro Técnico,59.38,2,2025-04-04,SP,Indicação,entregue,
PED104862,CLI1303,Eletrônicos,Caixa de Som,150.0,1,02-10-2025,BA,E-mail Marketing,Entregue,5.0
PED103277,CLI1652,Moda,Tênis Casual,81.48,1,24-06-2025,PE,E-mail Marketing,Entregue,5.0
PED100608,CLI1015,Casa e Decoração,Jogo de Panelas,112.36,1,08-05-2025,PA,Indicação,ENTREGUE,
PED102319,CLI2663,Eletrônicos,Smartwatch,206.47,3,2025-01-07,CE,Orgânico,Entregue,1.0
PED100906,CLI1772,Esporte,Colchonete Yoga,109.5,1,18/09/2025,GO,Indicação,Entregue,3.0
PED104649,CLI2399,Eletrônicos,Mouse Gamer,137.31,1,25-04-2025,DF,Google Ads,Cancelado,3.0
PED103958,CLI1600,Livros,Livro de Autoajuda  ,61.89,1,04-02-2025,PR,Google Ads,Entregue,4.0
PED103393,CLI2927,Livros,Biografia,38.7,1,08-12-2025,CE,Google Ads,Cancelado,4.0
PED100285,CLI2702,Casa e Decoração,Luminária LED,64.65,1,04-04-2025,RJ,Instagram Ads,Devolvido,5.0
PED101414,CLI1323,Moda,Boné,67.56,1,06-02-2025,SC,,Cancelado,4.0
PED103473,CLI2750,Eletrônicos,Carregador USB-C,146.86,2,12-07-2025,DF,Indicação,Em transporte,3.0
PED101162,CLI2235,Casa e Decoração,Tapete,93.43,2,04-04-2025,PE,Orgânico,Entregue,4.0
PED104385,CLI1334,Casa e Decoração,Luminária LED,81.42,3,23-06-2025,BA,Orgânico,ENTREGUE,5.0
PED102245,CLI2875,Moda,Bermuda,71.09,1,22-02-2025,PA,Orgânico,Entregue,
PED104292,CLI1744,Eletrônicos,Mouse Gamer,189.34,2,12-05-2025,PE,Indicação,Entregue,5.0
PED104742,CLI2606,Beleza,Protetor Solar,35.58,3,19-06-2025,AM,Google Ads,Cancelado,5.0
PED103027,CLI1448,Eletrônicos,Carregador USB-C,82.29,2,09-09-2025,PA,,Entregue,5.0
PED102822,CLI1305,Eletrônicos,Mouse Gamer,115.5,1,21-04-2025,BA,Google Ads,Entregue,4.0
PED103892,CLI2873,Beleza,Base Líquida,87.14,2,02/02/2025,AM,Instagram Ads,Em transporte,5.0
PED102070,CLI1012,Moda,Boné,83.55,3,12-01-2025,PA,Instagram Ads,Entregue,4.0
PED101447,CLI1994,Eletrônicos,Caixa de Som,44.95,1,01-03-2025,PR,E-mail Marketing,Em transporte,4.0
PED100141,CLI1020,Beleza,Base Líquida,47.71,1,28-08-2025,DF,Orgânico,Entregue,1.0
PED102617,CLI1622,Casa e Decoração,Almofada,97.49,1,15-08-2025,GO,Instagram Ads,Entregue,4.0
PED101584,CLI2812,Esporte,Bicicleta Ergométrica,84.55,1,09-06-2025,BA,Orgânico,Entregue,5.0
PED103866,CLI1377,Esporte,Kit Halteres,100.78,1,23-01-2025,PE,Indicação,entregue,5.0
PED100804,CLI1409,Eletrônicos,Fone Bluetooth,132.47,1,02-04-2025,CE,,Entregue,1.0
PED100428,CLI1178,Eletrônicos,Caixa de Som,240.54,3,2025-06-10,PA,Google Ads,Em transporte,3.0
PED102560,CLI1180,Beleza,Secador de Cabelo,54.58,1,14-05-2025,AM,,Cancelado,
PED102408,CLI1920,Casa e Decoração,Jogo de Panelas,41.99,1,13-01-2025,DF,Indicação,Em transporte,4.0
PED103788,CLI1236,Casa e Decoração,Jogo de Panelas,63.77,1,11-05-2025,BA,Orgânico,Devolvido,4.0
PED102728,CLI2378,Esporte,Tênis de Corrida,103.32,1,2025-01-14,AM,E-mail Marketing,Entregue,3.0
PED102678,CLI1897,Eletrônicos,Caixa de Som,247.52,1,2025-02-20,BA,E-mail Marketing,entregue,
PED103459,CLI2899,Livros,Livro Técnico,48.87,2,12-03-2025,GO,Instagram Ads,Devolvido,3.0
PED101877,CLI1393,Esporte,Kit Halteres,47.67,1,18-04-2025,SC,E-mail Marketing,Entregue,
PED100280,CLI2151,Casa e Decoração,Luminária LED,105.4,1,03-05-2025,BA,Indicação,Em transporte,1.0
PED102851,CLI2606,Esporte,Tênis de Corrida,66.52,1,01/01/2025,AM,Instagram Ads,entregue,4.0
PED103794,CLI2613,Esporte,Bicicleta Ergométrica,116.21,1,16-01-2025,DF,Google Ads,Entregue,4.0
PED102188,CLI1808,Eletrônicos,Carregador USB-C,129.29,1,05/05/2025,AM,Instagram Ads,Entregue,5.0
PED101743,CLI1499,Esporte,Bicicleta Ergométrica,120.24,1,22-02-2025,MG,Indicação,Entregue,
PED103667,CLI2346,Eletrônicos,Mouse Gamer,145.35,2,14-03-2025,RS,,Entregue,
PED103924,CLI2320,Casa e Decoração,Almofada,83.87,2,12/07/2025,DF,Google Ads,Entregue,
PED104272,CLI2525,Esporte,Colchonete Yoga,133.39,2,24/02/2025,RJ,Google Ads,Entregue,5.0
PED103099,CLI2597,Casa e Decoração,Jogo de Panelas,72.16,1,10-04-2025,DF,,Entregue,5.0
PED103798,CLI1376,Beleza,Perfume,50.29,2,24/08/2025,RJ,Instagram Ads,Entregue,5.0
PED103203,CLI1559,Casa e Decoração,Tapete,76.89,2,07-07-2025,RJ,Google Ads,Entregue,4.0
PED102702,CLI2675,Moda,Bermuda  ,100.47,1,03/02/2025,SC,Orgânico,Em transporte,4.0
PED103385,CLI2427,Eletrônicos,Mouse Gamer,182.31,1,17-05-2025,AM,Orgânico,Entregue,5.0
PED102048,CLI1205,Eletrônicos,Mouse Gamer,230.13,1,24-02-2025,CE,Instagram Ads,Entregue,4.0
PED101381,CLI2144,Esporte,Bicicleta Ergométrica,92.87,1,16/03/2025,AM,Orgânico,Entregue,4.0
PED104843,CLI2799,Livros,Livro Técnico,53.14,1,18-08-2025,SP,Orgânico,Em transporte,5.0
PED101921,CLI1687,Beleza,Perfume,47.78,1,15-01-2025,PR,Google Ads,Devolvido,
PED104161,CLI2559,Livros,Romance Best-seller,39.28,1,2025-06-20,CE,E-mail Marketing,Em transporte,5.0
PED103073,CLI2723,Eletrônicos,Smartwatch,194.97,1,2025-06-01,DF,Orgânico,ENTREGUE,4.0
PED104197,CLI1677,Moda,Camiseta Básica,160.18,1,05/01/2025,BA,,Entregue,1.0
PED103539,CLI1339,Eletrônicos,Smartwatch,162.03,3,05-07-2025,CE,Orgânico,Em transporte,4.0
PED101242,CLI2090,Eletrônicos,Mouse Gamer,190.42,1,05-07-2025,GO,Instagram Ads,Entregue,5.0
PED102595,CLI2180,Livros,Biografia,35.95,2,24-04-2025,RS,Instagram Ads,Entregue,
PED101113,CLI1287,Esporte,Kit Halteres,102.87,1,2025-09-17,GO,Instagram Ads,Entregue,4.0
PED103867,CLI1504,Eletrônicos,Mouse Gamer,178.33,1,12/05/2025,CE,Indicação,Entregue,3.0
PED104573,CLI1062,Esporte,Tênis de Corrida,104.83,1,18-03-2025,PE,Google Ads,Em transporte,4.0
PED100552,CLI2417,Livros,Livro de Autoajuda,74.91,1,2025-01-23,PA,Orgânico,Cancelado,4.0
PED100079,CLI1989,Eletrônicos,Caixa de Som,147.56,1,15-01-2025,SP,Google Ads,Cancelado,4.0
PED101772,CLI2674,Casa e Decoração,Tapete,90.61,1,2025-02-24,DF,Instagram Ads,Entregue,3.0
PED102575,CLI1680,Casa e Decoração,Tapete,117.28,5,06/06/2025,SC,Instagram Ads,Entregue,4.0
PED104808,CLI1238,Beleza,Base Líquida,27.47,1,16/03/2025,PR,Google Ads,Entregue,
PED104164,CLI2422,Esporte,Bicicleta Ergométrica,90.17,1,2025-09-20,PE,Google Ads,Devolvido,5.0
PED103006,CLI2895,Casa e Decoração,Vaso Decorativo,91.78,1,13-04-2025,BA,Google Ads,Em transporte,1.0
PED102031,CLI2430,Livros,Biografia,71.33,1,11-03-2025,SP,Instagram Ads,Entregue,4.0
PED104478,CLI2571,Beleza,Base Líquida,36.22,1,21-01-2025,PE,Orgânico,entregue,
PED101165,CLI2510,Beleza,Perfume,72.34,1,13-06-2025,DF,E-mail Marketing,Entregue,5.0
PED102726,CLI2083,Livros,Livro de Autoajuda,44.96,1,13/03/2025,SC,E-mail Marketing,Em transporte,5.0
PED102139,CLI1700,Livros,Livro de Autoajuda,63.47,1,2025-03-05,PR,E-mail Marketing,Entregue,5.0
PED101140,CLI2325,Eletrônicos,Fone Bluetooth,183.06,5,20-01-2025,AM,Orgânico,Em transporte,4.0
PED101225,CLI1599,Livros,Quadrinhos,45.87,1,03-08-2025,PE,Orgânico,Entregue,2.0
PED102075,CLI2149,Eletrônicos,Fone Bluetooth,129.16,2,22-02-2025,RJ,,Entregue,
PED100745,CLI1090,Eletrônicos,Fone Bluetooth,222.32,1,04-01-2025,PR,Instagram Ads,Entregue,4.0
PED101236,CLI2820,Moda,Bermuda,87.72,1,2025-02-03,MG,Instagram Ads,Entregue,
PED102878,CLI2106,Beleza,Base Líquida,69.34,1,02-08-2025,PR,Instagram Ads,Entregue,4.0
PED101126,CLI1508,Beleza,Perfume,94.33,1,27-05-2025,CE,Instagram Ads,Entregue,2.0
PED103739,CLI2270,Esporte,Kit Halteres,91.14,2,14-04-2025,SP,,Em transporte,
PED103466,CLI2707,Casa e Decoração,Tapete,76.37,1,24-05-2025,SC,Instagram Ads,ENTREGUE,
PED102569,CLI2685,Livros,Biografia,67.09,1,24-09-2025,AM,Orgânico,Entregue,4.0
PED103619,CLI1817,Esporte,Tênis de Corrida,184.84,1,09-02-2025,PA,Instagram Ads,Entregue,4.0
PED101044,CLI2408,Livros,Livro de Autoajuda,48.58,1,2025-06-19,BA,Orgânico,Entregue,5.0
PED101840,CLI1007,Esporte,Kit Halteres,103.36,1,17-02-2025,AM,Orgânico,Entregue,3.0
PED102241,CLI1031,Casa e Decoração,Tapete,52.75,1,14-01-2025,BA,Instagram Ads,Em transporte,4.0
PED104190,CLI2251,Eletrônicos,Fone Bluetooth,163.79,1,23-04-2025,CE,Instagram Ads,Cancelado,4.0
PED104102,CLI1810,Beleza,Protetor Solar,50.07,1,03-05-2025,DF,Google Ads,Cancelado,4.0
PED102098,CLI1245,Esporte,Colchonete Yoga,80.72,2,08-07-2025,AM,Indicação,Entregue,
PED103132,CLI1478,Casa e Decoração,Luminária LED,62.25,1,2025-02-05,SC,Indicação,Entregue,3.0
PED101246,CLI1894,Esporte,Bicicleta Ergométrica,130.48,2,01-01-2025,GO,Instagram Ads,entregue,
PED102479,CLI1356,Livros,Quadrinhos,66.98,1,05-01-2025,SP,,Em transporte,4.0
PED101399,CLI1213,Beleza,Protetor Solar,106.16,1,25-02-2025,MG,Google Ads,Entregue,4.0
PED102505,CLI1042,Esporte,Garrafa Térmica  ,86.26,5,30-01-2025,RJ,Orgânico,Em transporte,
PED102565,CLI2857,Beleza,Protetor Solar  ,69.83,1,2025-11-13,RS,,Devolvido,
PED104567,CLI2530,Casa e Decoração,Almofada,83.25,1,19-02-2025,DF,Orgânico,entregue,4.0
PED101056,CLI1833,Esporte,Garrafa Térmica,126.23,2,30/06/2025,DF,,Em transporte,1.0
PED103160,CLI1687,Esporte,Tênis de Corrida,125.89,2,19/02/2025,RS,E-mail Marketing,Entregue,4.0
PED101309,CLI1748,Esporte,Tênis de Corrida,88.26,1,2025-01-28,MG,Google Ads,Entregue,5.0
PED100796,CLI1554,Livros,Livro de Autoajuda,70.93,1,24-03-2025,PR,Google Ads,Em transporte,5.0
PED104340,CLI2717,Beleza,Secador de Cabelo,75.32,1,2025-03-26,PR,E-mail Marketing,Entregue,5.0
PED101764,CLI1527,Livros,Biografia,62.51,1,05-01-2025,CE,Orgânico,Cancelado,4.0
PED104491,CLI2007,Esporte,Garrafa Térmica,98.07,1,21-08-2025,PR,,Entregue,4.0
PED101185,CLI2934,Livros,Livro de Autoajuda,49.22,1,17-01-2025,PA,Indicação,Entregue,5.0
PED100005,CLI2275,Moda,Bermuda,89.85,3,09-01-2025,CE,Orgânico,Entregue,4.0
PED102872,CLI2254,Moda,Bermuda,98.03,2,21-02-2025,MG,Google Ads,Entregue,5.0
PED102961,CLI1887,Casa e Decoração,Almofada,86.62,2,22-08-2025,RJ,Google Ads,Em transporte,5.0
PED100994,CLI2380,Livros,Romance Best-seller,11.88,5,24-03-2025,SC,Orgânico,entregue,3.0
PED100834,CLI1083,Eletrônicos,Carregador USB-C,134.58,2,21-02-2025,PA,Instagram Ads,Entregue,4.0
PED102011,CLI2992,Eletrônicos,Carregador USB-C,87.65,1,02/04/2025,MG,Instagram Ads,entregue,4.0
PED104495,CLI2889,Eletrônicos,Mouse Gamer,191.96,1,30-05-2025,MG,Orgânico,Entregue,4.0
PED100792,CLI1371,Beleza,Kit Skincare,28.47,1,2025-01-25,GO,Instagram Ads,Em transporte,
PED104941,CLI1279,Beleza,Secador de Cabelo,71.19,1,15/06/2025,MG,Instagram Ads,Entregue,5.0
PED101946,CLI1718,Beleza,Perfume,84.51,1,2025-04-17,SC,Orgânico,Entregue,4.0
PED101913,CLI1847,Moda,Boné,81.02,1,17-02-2025,AM,Orgânico,Cancelado,
PED103207,CLI2974,Casa e Decoração,Jogo de Panelas,99.89,1,13-06-2025,PE,,Entregue,4.0
PED104711,CLI2800,Moda,Jaqueta Jeans,84.44,1,10-03-2025,RS,E-mail Marketing,Entregue,3.0
PED104780,CLI1692,Beleza,Protetor Solar,42.75,1,10-03-2025,DF,Indicação,Entregue,5.0
PED101603,CLI1589,Esporte,Tênis de Corrida,83.42,1,12/04/2025,PA,Google Ads,Entregue,3.0
PED101422,CLI1433,Casa e Decoração,Vaso Decorativo,80.46,1,23-08-2025,DF,Google Ads,Em transporte,5.0
PED101559,CLI1665,Casa e Decoração,Vaso Decorativo,114.16,1,28-02-2025,RJ,Instagram Ads,Cancelado,5.0
PED102382,CLI2559,Esporte,Bicicleta Ergométrica,94.05,1,11-02-2025,PE,Orgânico,Entregue,5.0
PED103193,CLI1244,Esporte,Tênis de Corrida,138.59,2,15-01-2025,GO,Google Ads,Entregue,2.0
PED104804,CLI1238,Esporte,Tênis de Corrida,188.48,1,2025-01-16,GO,Indicação,Entregue,
PED102268,CLI1964,Moda,Camiseta Básica,36.69,1,22-09-2025,CE,Instagram Ads,entregue,4.0
PED103755,CLI2266,Beleza,Perfume,65.53,1,25-02-2025,AM,Orgânico,Em transporte,5.0
